,ID,ra,dec
1692,J090838.26+291248.3,137.15942,29.213411
1693,J101031.83+351419.0,152.63261,35.238617
1694,J114443.16+393638.7,176.17984,39.610756
1695,J083824.01+254516.3,129.60004,25.754541
1697,J101005.51+354041.6,152.52295,35.678211
1698,J110457.51+384934.8,166.23964,38.826328
1699,J121633.87+401627.9,184.14113,40.274429
1700,J123945.17+401449.1,189.9382,40.246983
1702,J091446.32+305847.5,138.69301,30.979868
1704,J092704.67+321921.8,141.76945,32.322723
1706,J102536.44+371317.2,156.40182,37.221436
1707,J102636.34+371702.7,156.65141,37.284092
1708,J113207.25+400651.4,173.03021,40.114285
1709,J121155.08+403918.2,182.97949,40.655067
1710,J120835.62+410520.9,182.14842,41.089134
1711,J131636.39+353055.9,199.15161,35.515541
1712,J122729.77+364153.3,186.87404,36.698143
1713,J124827.25+363431.3,192.11356,36.575356
1714,J125448.39+362129.3,193.70161,36.358139
1715,J122605.21+371055.3,186.5217,37.182037
1716,J125306.05+364902.9,193.27521,36.817474
1717,J123654.00+372639.7,189.22501,37.444351
1718,J125959.84+371117.3,194.99934,37.188145
1719,J134025.45+354751.9,205.10606,35.797756
1720,J135052.09+352403.7,207.71706,35.401024
1722,J135205.11+352234.3,208.0213,35.376198
1724,J135009.50+362013.4,207.5396,36.337055
1725,J140109.03+354239.2,210.28764,35.71088
1726,J114210.60+360543.6,175.54416,36.095436
1727,J114325.90+360639.2,175.85791,36.110882
1728,J114414.94+361513.1,176.06227,36.253643
1730,J110729.81+352841.2,166.87419,35.478104
1731,J123753.05+365859.0,189.47105,36.983059
1733,J105955.27+353956.8,164.98029,35.665768
1734,J114139.05+365546.2,175.4127,36.929508
1735,J121156.28+372109.9,182.98451,37.352737
1737,J131439.56+363504.9,198.66483,36.584682
1739,J114807.33+372709.5,177.03053,37.452637
1740,J124322.56+373858.0,190.84398,37.649448
1741,J111013.25+365759.6,167.55521,36.966545
1742,J114909.89+375521.7,177.29121,37.922691
1743,J104732.93+362237.1,161.88719,36.376972
1744,J112229.79+374633.4,170.62411,37.775932
1745,J075330.70+163806.5,118.37792,16.635143
1746,J075432.11+164815.1,118.63381,16.804201
1747,J075614.07+170115.7,119.05863,17.021036
1748,J083708.31+230356.3,129.28464,23.065632
1751,J084746.62+245446.2,131.94423,24.912832
1752,J085055.69+251726.4,132.73206,25.290659
1755,J135433.75+341033.4,208.64061,34.175949
1756,J140141.39+334936.6,210.42245,33.82682
1757,J135314.05+343559.5,208.30855,34.59985
1760,J155144.15+243632.3,237.93394,24.608963
1761,J142445.87+333742.8,216.19112,33.628551
1762,J154422.61+260334.3,236.09421,26.059534
1763,J155515.62+245041.4,238.81508,24.844839
1764,J140309.41+351759.4,210.78922,35.299843
1766,J143155.39+333829.1,217.9808,33.641415
1767,J145647.81+312521.7,224.19919,31.422703
1769,J160455.61+235810.6,241.23172,23.969622
1770,J160452.01+235626.9,241.21671,23.940805
1771,J160520.27+235458.2,241.33444,23.916164
1772,J134807.97+363835.5,207.03322,36.643204
1773,J075204.53+163728.2,118.01888,16.624498
1775,J083711.34+231158.2,129.29723,23.199488
1776,J084354.04+241235.7,130.97516,24.209917
1777,J075047.47+164546.2,117.6978,16.762831
1778,J080955.15+194553.2,122.4798,19.764784
1779,J084002.08+240345.8,130.00865,24.06271
1780,J082830.59+230339.3,127.12747,23.060921
1781,J102910.55+331625.0,157.29396,33.273598
1782,J092220.90+283422.4,140.58707,28.572876
1783,J103735.82+343250.9,159.39925,34.547482
1784,J100218.00+324628.2,150.57501,32.774494
